Year;Liabilities_From_Loans_Leases_and_Debt_Securities;Derivative_Financial_Instruments;Liabilities_To_Suppliers_and_Similar;Employee_Benefit_Liabilities;Tax_Liabilities;Provisions_For_Liabilities_and_Other_Charges;Other_Liabilities;Liabilities_Associated_With_Assets_Held_For_Sale;Liabilities_Related_To_Disposal_Groups;Short_Term_Liabilities;Long_and_Short_Term_Liabilities;Total_Liabilities_and_Equity;;;;
2017;965;110;1823;842;630;114;975;0;0;5459;16337;34122;;0;0;0
2018;1071;43;2053;808;585;271;1034;0;0;5865;18012;37237;;0;0;0
2019;348;91;2766;1150;433;222;1026;0;0;6036;19207;39409;;0;0;0
2020;407;688;3593;1313;537;162;1202;5;0;7907;21699;42780;;0;0;0
2021;455;889;2974;1437;1453;207;1661;0;462;9538;20889;48027;;0;0;0
2022;1223;434;3094;1699;1233;173;1329;0;0;9185;21298;53444;;0;0;0
2023;964;499;6188;1709;611;194;1452;0;0;11617;22753;51383;;0;0;0
