Year;Liabilities_from_Loans_Leases_and_Debt_Securities;Derivative_Financial_Instruments;Employee_Benefit_Liabilities;Provisions_for_Mine_Closure_and_Other_Technological_Facilities_Costs;Deferred_Income_Tax_Liabilities;Other_Liabilities;Long_Term_Liabilities;Long_and_Short_Term_Liabilities;Total_Liabilities_and_Equity;;;;
2017;6191;208;2063;1351;347;718;10878;16337;34122;;0;0;0
2018;6878;162;2447;1564;498;598;12147;18012;37237;;0;0;0
2019;7525;183;2613;1774;445;631;13171;19207;39409;;0;0;0
2020;6928;1006;3016;1849;442;551;13792;21699;42780;;0;0;0
2021;5409;1134;2306;1242;643;617;11351;20889;48027;;0;0;0
2022;5220;719;2621;1859;1151;543;12113;21298;53444;;0;0;0
2023;4761;202;3117;1923;646;487;11136;22753;51383;;0;0;0
