Year;Inflows_From_Borrowings;Other_Inflows;Total_Inflows;Payments_From_Borrowings;Dividends_Paid_To_Equity_Holders;Interest_And_Other_Borrowing_Costs_Paid;Other_Payments;Total_Payments;Net_Cash_Flows_From_Financing_Activities;;check1;check2;check3
2017;2442;6;2448;-2072;-200;-157;-1;-2430;18;;0;0;0
2018;2276;19;2295;-2110;0;-119;0;-2229;66;;0;0;0
2019;6730;0;6730;-7798;0;-239;-1;-8038;-1308;;0;0;0
2020;4247;52;4299;-4610;0;-177;-60;-4847;-548;;0;0;0
2021;358;36;394;-2145;-300;-94;-55;-2594;-2200;;0;0;0
2022;677;130;807;-484;-600;-92;-77;-1253;-446;;0;0;0
2023;1673;70;1743;-2134;-200;-81;-75;-2490;-747;;0;0;0
