Year;Share_Capital;Capital_Reserve_from_Financial_Instruments_Valuation;Accumulated_Other_Comprehensive_Income_Excluding_Financial_Instruments_Valuation;Retained_Earnings;Equity_Attributable_to_Owners_of_the_Parent;Non_controlling_Interests_Equity;Equity;;;
2017;2000;158;2427;13109;17694;91;17785;;0;0
2018;2000;-444;2005;15572;19133;92;19225;;0;0
2019;2000;-738;1954;16894;20110;92;20202;;0;0
2020;2000;-1430;1728;18694;20992;89;21081;;0;0
2021;2000;-1705;2219;24532;27046;92;27138;;0;0
2022;2000;-427;1812;28704;32089;57;32146;;0;0
2023;2000;277;1482;24806;28565;65;28630;;0;0
